loan_id,customer_id,branch_id,loan_type,loan_amount,tenure_months,interest_rate,disbursement_date,loan_status
LN000001,CUST06826,BR036,Two-Wheeler Loan,97000,60,10.94,2023-05-19,Written-Off
LN000002,CUST03340,BR006,Consumer Durable,521000,36,19.56,2021-12-13,Closed
LN000003,CUST06741,BR002,Consumer Durable,78000,60,14.47,2023-10-17,Written-Off
LN000004,CUST02505,BR038,Two-Wheeler Loan,325000,48,13.37,2021-10-17,Active
LN000005,CUST05241,BR014,Consumer Durable,69000,12,18.15,2022-02-16,Active
LN000006,CUST00256,BR014,Personal Loan,90000,48,14.84,2021-08-06,Active
LN000007,CUST07213,BR032,Two-Wheeler Loan,59000,12,21.94,2022-06-05,Active
LN000008,CUST06324,BR022,Consumer Durable,1324000,36,23.32,2021-05-05,Closed
LN000009,CUST03881,BR030,Consumer Durable,303000,18,23.88,2023-05-12,Written-Off
LN000010,CUST00760,BR010,Personal Loan,344000,12,14.58,2022-05-22,Written-Off
LN000011,CUST07259,BR018,Personal Loan,51000,36,11.05,2021-03-17,Closed
LN000012,CUST00572,BR007,Personal Loan,337000,60,11.85,2023-06-18,Closed
LN000013,CUST06359,BR006,Two-Wheeler Loan,82000,48,14.33,2023-05-24,Active
LN000014,CUST00966,BR004,Two-Wheeler Loan,356000,36,13.12,2022-10-02,Active
LN000015,CUST07951,BR001,Personal Loan,157000,36,14.99,2022-01-20,Active
LN000016,CUST07203,BR009,Personal Loan,693000,36,18.16,2022-11-28,Active
LN000017,CUST06611,BR022,Personal Loan,43000,60,20.22,2022-08-02,Active
LN000018,CUST07662,BR034,Personal Loan,1234000,36,13.38,2023-04-08,Closed
LN000019,CUST02413,BR018,Personal Loan,507000,24,13.18,2023-02-14,Active
LN000020,CUST03169,BR026,Consumer Durable,1271000,12,10.73,2022-07-01,Written-Off
LN000021,CUST03701,BR035,Personal Loan,40000,36,22.72,2023-11-12,Closed
LN000022,CUST03114,BR008,Consumer Durable,1064000,12,18.03,2022-03-16,Active
LN000023,CUST06554,BR008,Personal Loan,270000,48,14.97,2021-11-17,Active
LN000024,CUST00171,BR029,Personal Loan,548000,60,23.13,2022-04-15,Active
LN000025,CUST05626,BR012,Two-Wheeler Loan,799000,12,16.24,2021-07-15,Active
LN000026,CUST01967,BR020,Personal Loan,50000,24,18.15,2021-04-28,Closed
LN000027,CUST06645,BR030,Personal Loan,398000,36,11.62,2022-06-17,Closed
LN000028,CUST06834,BR006,Consumer Durable,30000,24,22.9,2021-05-04,Active
LN000029,CUST04946,BR007,Personal Loan,78000,12,21.23,2023-09-02,Closed
LN000030,CUST07385,BR022,Two-Wheeler Loan,48000,36,15.84,2023-03-01,Active
LN000031,CUST05986,BR012,Personal Loan,357000,18,19.76,2023-10-15,Written-Off
LN000032,CUST07501,BR039,Personal Loan,987000,24,11.99,2021-06-12,Closed
LN000033,CUST03558,BR011,Personal Loan,45000,24,17.58,2021-11-01,Active
LN000034,CUST06484,BR007,Two-Wheeler Loan,251000,12,17.81,2021-08-09,Active
LN000035,CUST06280,BR027,Personal Loan,103000,18,16.3,2023-07-08,Closed
LN000036,CUST07534,BR021,Two-Wheeler Loan,74000,60,14.02,2023-02-24,Closed
LN000037,CUST03144,BR024,Two-Wheeler Loan,329000,12,19.98,2021-10-01,Active
LN000038,CUST03094,BR019,Personal Loan,502000,24,12.21,2021-01-23,Closed
LN000039,CUST06732,BR028,Personal Loan,1435000,12,16.41,2022-02-13,Active
LN000040,CUST00872,BR008,Personal Loan,783000,18,17.94,2022-12-02,Closed
LN000041,CUST04871,BR021,Consumer Durable,85000,36,22.15,2021-06-04,Active
LN000042,CUST00999,BR029,Personal Loan,91000,36,20.97,2023-01-08,Closed
LN000043,CUST01802,BR023,Consumer Durable,85000,18,13.5,2021-06-12,Active
LN000044,CUST00362,BR015,Personal Loan,392000,12,17.39,2021-05-09,Active
LN000045,CUST05422,BR024,Consumer Durable,91000,60,17.44,2023-12-20,Closed
LN000046,CUST06579,BR025,Two-Wheeler Loan,1168000,60,17.36,2023-04-27,Active
LN000047,CUST03454,BR030,Personal Loan,199000,24,19.32,2022-12-03,Closed
LN000048,CUST02254,BR010,Consumer Durable,806000,18,22.27,2023-12-28,Closed
LN000049,CUST03795,BR012,Consumer Durable,93000,24,20.4,2023-10-02,Written-Off
LN000050,CUST03921,BR033,Personal Loan,724000,48,16.01,2022-08-28,Active
LN000051,CUST03184,BR039,Personal Loan,1386000,36,13.99,2021-03-14,Closed
LN000052,CUST01677,BR025,Personal Loan,129000,18,21.54,2022-03-10,Active
LN000053,CUST03295,BR002,Personal Loan,196000,36,15.1,2022-07-30,Active
LN000054,CUST02170,BR010,Two-Wheeler Loan,1362000,18,17.24,2021-02-22,Active
LN000055,CUST06480,BR016,Personal Loan,97000,60,16.38,2022-10-04,Closed
LN000056,CUST07510,BR036,Personal Loan,112000,18,14.7,2023-10-25,Active
LN000057,CUST00389,BR023,Personal Loan,195000,60,13.06,2023-12-30,Closed
LN000058,CUST00482,BR029,Personal Loan,70000,12,17.6,2023-02-11,Closed
LN000059,CUST06552,BR031,Two-Wheeler Loan,431000,18,15.87,2022-06-28,Closed
LN000060,CUST07521,BR023,Personal Loan,107000,24,15.67,2021-06-20,Closed
LN000061,CUST05877,BR019,Personal Loan,73000,60,15.1,2023-04-16,Closed
LN000062,CUST06598,BR004,Consumer Durable,258000,48,11.84,2022-06-12,Active
LN000063,CUST02845,BR026,Personal Loan,130000,12,13.31,2021-08-28,Closed
LN000064,CUST02321,BR001,Personal Loan,471000,36,17.44,2021-05-15,Active
LN000065,CUST04620,BR029,Personal Loan,501000,24,11.85,2022-07-16,Active
LN000066,CUST07045,BR034,Consumer Durable,364000,36,19.72,2023-10-22,Active
LN000067,CUST03939,BR004,Personal Loan,83000,48,10.84,2021-10-24,Active
